tip,name,species.complex,own
Colletotrichum_fructicola_strain_3589,Colle. fructicola 3589,gloeosporioides,
Colletotrichum_fuscum_strain_CBS_133701,Colle. fuscum,destructivum,
Colletotrichum_fusiforme_strain_MFLU13-0291,Colle. fusiforme,truncatum,
Colletotrichum_gigasporum_strain_CBS_101881,Colle. gigasporum,gigasporum,
Colletotrichum_gloeosporioides_culture-collection_CBS_112999,Colle. gloeosporioides,gloeosporioides,
Colletotrichum_godetiae_culture-collection_CBS_133.44,Colle. godetiae,acutatum,
Colletotrichum_graminicola,Colle. graminicola,graminicola,
Colletotrichum_grevilleae_strain_CBS_132879,Colle. grevilleae,gloeosporioides,
Colletotrichum_grossum_strain_CAUG7,Colle. grossum,gloeosporioides,
Colletotrichum_guajavae_culture-collection_IMI_350839,Colle. guajave,acutatum,
Colletotrichum_guizhouensis_strain_CGMCC_3.15112,Colle. guizhouensis,spaethianum,
Colletotrichum_hebeiense_strain_K3,Colle. hebeiense,gloeosporioides,
Colletotrichum_helleniense_strain_CPC_26844,Colle. hederiicola,gloeosporioides,
Colletotrichum_henanense_strain_LF238,Colle. henanense,gloeosporioides,
Colletotrichum_higginsianum_strain_IMI_349061,Colle. higginsianum,destructivum,
Colletotrichum_hippeastri_culture-collection_CBS_125376,Colle. hippeastri,boninense,
Colletotrichum_horii_strain_C1180.1,Colle. horii,gloeosporioides,
Colletotrichum_hystricis_strain_CPC_28153,Colle. hystricis,gloeosporioides,
Colletotrichum_incanum_strain_ATCC_64682,Colle. incanum,spaethianum,
Colletotrichum_indonesiense_culture-collection_CBS_127551,Colle. indonesiense,acutatum,
Colletotrichum_jiangxiense_strain_LF488,Colle. jiangxiense,gloeosporioides,
Colletotrichum_johnstonii_culture-collection_CBS_128532,Colle. johnstonii,acutatum,
Colletotrichum_kahawae_culture_ICMP_17816,Colle. kahawae,gloeosporioides,
Colletotrichum_karstii_culture-collection_CBS_111998,Colle. karstii,boninense,
Colletotrichum_kinghornii_culture-collection_CBS_198.35,Colle. kinghornii,acutatum,
Colletotrichum_laticiphilum_culture-collection_CBS_112989,Colle. laticiphilum,acutatum,
Colletotrichum_lentis_strain_CBS_127604,Colle. lentis,destructivum,
Colletotrichum_lilii_culture-collection_CBS_109214,Colle. lilii,spaethianum,
Colletotrichum_limetticola_culture-collection_CBS_114.14,Colle. limetticola,acutatum,
Colletotrichum_limonicola_strain_CPC_31141,Colle. limonicola,boninense,
Colletotrichum_lindemuthianum_culture-collection_CBS_144.31,Colle. lindemuthianum,orbiculare,
Colletotrichum_lineola_culture-collection_CBS_125337,Colle. lineola,dematium,
Colletotrichum_lini_strain_CBS_172.51,Colle. lini,destructivum,
Colletotrichum_liriopes_culture-collection_CBS_119444,Colle. liriopes,spaethianum,
Colletotrichum_lobatum_strain_IMI79736,Colle. lobatum,magnum,
Colletotrichum_lupini_culture-collection_CBS_109225,Colle. lupini,acutatum,
Colletotrichum_magnum_strain_CBS_51997,Colle. magnum,magnum,
Colletotrichum_makassarense,Colle. makassarense,gloeosporioides,
Colletotrichum_malvarum_strain_CBS_521.97,Colle. malvarum,orbiculare,
Colletotrichum_melonis_culture-collection_CBS_159.84,Colle. melonis,acutatum,
Colletotrichum_merremiae_strain_CBS_124955,Colle. merremiae,magnum,
Colletotrichum_musae_strain_CMM4422,Colle. musae CMM 4422,gloeosporioides,
Colletotrichum_musae_strain_CMM4423,Colle. musae CMM 4423,gloeosporioides,
Colletotrichum_musae_strain_CMM4445,Colle. musae CMM 4445,gloeosporioides,
Colletotrichum_musicola_strain_CBS_132885,Colle. musicola,orchidearum,
Colletotrichum_navitas_culture-collection_CBS_125086,Colle. navitas,graminicola,
Colletotrichum_novae-zelandiae_culture-collection_CBS_128505,Colle. novae-zelandiae,boninense,
Colletotrichum_nupharicola_culture_ICMP_18187,Colle. nupharicola,gloeosporioides,
Colletotrichum_nymphaeae_culture-collection_CBS_515.78,Colle. nymphaeae,acutatum,
Colletotrichum_ocimi_strain_CBS_298.94,Colle. ocimi,destructivum,
Colletotrichum_oncidii_culture-collection_CBS_129828,Colle. oncidii,boninense,
Colletotrichum_orbiculare_strain_CBS_570.97,Colle. orbiculare,orbiculare,
Colletotrichum_orchidearum_strain_CBS_135131,Colle. orchidearum,orchidearum,
Colletotrichum_panamense_strain_CBS_125386,Colle. panamense,magnum,
Colletotrichum_pandanicola_strain_MFLUCC_17-0571,Colle. pandanicola,gloeosporioides,
Colletotrichum_paranaense_isolate_CPC_20901,Colle. paranaense,acutatum,
Colletotrichum_parsonsiae_culture-collection_CBS_128525,Colle. parsonsiae,boninense,
Colletotrichum_paxtonii_culture-collection_IMI_165753,Colle. paxtonii,acutatum,
Colletotrichum_perseae_isolate_GA100,Colle. perseae,gloeosporioides,
Colletotrichum_petchii_culture-collection_CBS_378.94,Colle. petchii,boninense,
Colletotrichum_phormii_culture-collection_CBS_118194,Colle. phormii,acutatum,
Colletotrichum_phyllanthi_culture-collection_CBS_175.67,Colle. phyllanthi,boninense,
Colletotrichum_piperis_strain_IMI71397,Colle. piperis,orchidearum,
Colletotrichum_pisicola_strain_CBS_724.97,Colle. pisicola,destructivum,
Colletotrichum_plurivorum_strain_CBS_125474,Colle. plurivorum,orchidearum,
Colletotrichum_proteae_strain_CBS_132882,Colle. proteae,gloeosporioides,
Colletotrichum_pseudomajus_strain_CBS_571.88,Colle. pseudomajus,gigasporum,
Colletotrichum_pseudotheobromicola_culture_MFLUCC_18-1602,Colle. pseudotheobromicola,gloeosporioides,
Colletotrichum_psidii_culture_CBS_145.29,Colle. psidii,gloeosporioides,
Colletotrichum_pyricola_culture-collection_CBS_128531,Colle. pyricola,acutatum,
Colletotrichum_queenslandicum_isolate_CMM3233,Colle. queenslandicum CMM 3233,gloeosporioides,
Colletotrichum_queenslandicum_isolate_CMM3236,Colle. queenslandicum CMM 3236,gloeosporioides,
Colletotrichum_queenslandicum_isolate_CMM3241,Colle. queenslandicum CMM 3241,gloeosporioides,
Colletotrichum_radicis_strain_CBS_529.93,Colle. radicis,gigasporum,
Colletotrichum_rhexiae_culture_CBS_133134_strain_BPI_884112,Colle. rhexiae,gloeosporioides,
Colletotrichum_rhombiforme_culture-collection_CBS_129953,Colle. rhombiforme,acutatum,
Colletotrichum_riograndense_strain_COAD_928,Colle. riograndense,spaethianum,
Colletotrichum_salicis_culture-collection_CBS_607.94,Colle. salicis,acutatum,
Colletotrichum_salsolae_culture_ICMP_19051,Colle. salsolae,gloeosporioides,
Colletotrichum_scovillei_culture-collection_CBS_126529,Colle. scovillei,acutatum,
Colletotrichum_siamense_strain_CBS_133123,Colle. siamense,gloeosporioides,
Colletotrichum_sidae_strain_CBS_504.97,Colle. sidae,orbiculare,
Colletotrichum_simmondsii_culture-collection_CBS_122122,Colle. simmondsii,acutatum,
Colletotrichum_sloanei_culture-collection_IMI_364297,Colle. sloanei,acutatum,
Colletotrichum_sojae_strain_ATCC_62257,Colle. sojae,orchidearum,
Colletotrichum_spaethianum_culture-collection_CBS_167.49,Colle. spaethianum,spaethianum,
Colletotrichum_spinaciae_culture-collection_CBS_128.57,Colle. spinaceae,dematium,
